COUNTY,Pop2030
Barrow,113716
Bartow,159188
Carroll,148685
Cherokee,332649
Clayton,300720
Cobb,801831
Coweta,205753
DeKalb,797405
Douglas,174525
Fayette,126837
Forsyth,353748
Fulton,1139008
Gwinnett,1146091
Hall,284465
Henry,306381
Newton,148588
Paulding,211855
Rockdale,112106
Spalding,87620
Walton,116601
