COUNTY,Pop2020
Barrow,89116
Bartow,129833
Carroll,127672
Cherokee,267877
Clayton,278857
Cobb,739106
Coweta,163781
DeKalb,725987
Douglas,148306
Fayette,113128
Forsyth,254275
Fulton,1017903
Gwinnett,951162
Hall,231962
Henry,250746
Newton,120572
Paulding,167843
Rockdale,96715
Spalding,73524
Walton,96290
