COUNTY,Pop2015
Barrow,75103
Bartow,110448
Carroll,116236
Cherokee,233231
Clayton,266888
Cobb,727521
Coweta,141156
DeKalb,718442
Douglas,137343
Fayette,110975
Forsyth,206701
Fulton,970290
Gwinnett,859757
Hall,200586
Henry,218364
Newton,106500
Paulding,149382
Rockdale,89390
Spalding,66291
Walton,86969
