Name,Country,Period,Introit,Kyrie,Gradual,Tract,Sequence/Dies Irae,Offertory,Sanctus,Benedictus,Agnus Dei,Communion/lux aeterna,Lacrimosa,Pie Jesu,Libera Me,In Paradisum,Other Texts,Commissioned
Anton Bruckner,Austria ,Romantic,1,,,,1,1,1,1,1,1,,,,,,"in memory of Franz Sailer, the notary of the St. Florian Monastery,"
Ferruccio Busoni,Italy,Romantic,,,,,,,,,,,,,,,,
Gaetano Donizetti,Italy,Romantic,1,1,1,,1,1,,,,1,1,,1,,,
Antonín Dvořák,Czech ,Romantic,1,,1,,1,1,1,,1,,,,,,,
Gabriel Fauré,France,Romantic,1,1,,,,1,1,,1,,,1,1,1,,
Charles Gounod,France,Romantic,1,1,,,1,,1,1,1,,,1,,,,
Franz Lachner,Germany,Romantic,1,1,,,1,,1,1,1,1,1,,,,,
Franz Liszt,Hungary ,Romantic,1,1,,,1,1,1,1,1,,,,,,,
Giacomo Puccini [Introit only],Italy ,Romantic,1,,,,,,,,,,,,,,,
Max Reger Hebbel ,Germany ,Romantic,,,,,,,,,,,,,,,"setting of Friedrich Hebbel's poem ""Requiem""",(To the memory of the German heroes who fell in the 1914/15 War).
Antonín Rejcha,France ,Romantic,1,1,,,1,1,1,,1,,,,,,,
Camille Saint-Saëns,France,Romantic,1,1,,,1,,1,1,1,,,,,,,
Robert Schumann,Germany,Romantic,1,,,,1,,1,1,,,,,,,,
Franz von Suppé,Austria ,Romantic,1,,,,1,,1,1,1,1,1,,1,,,
Charles Villiers Stanford,UK,Romantic,1,1,1,,1,1,1,,1,,,,,,,
Giuseppe Verdi,Italy,Romantic,1,1,,,1,1,1,,1,1,,,1,,,"It was composed in memory of Alessandro Manzoni, an Italian poet and novelist whom Verdi admired."
Richard Wetz,Germany,Romantic,1,1,,,,1,1,1,1,,,,,,,
Mark Alburger,USA,20th Century,1,1,,,1,,1,,1,,1,,,,,the aerial requiem 
Malcolm Archer,UK,20th Century,1,1,,,,1,1,,1,,,1,1,1,,
Vyacheslav Artyomov,Russia,20th Century,1,1,,,1,1,1,,1,,,,1,1,,
Osvaldas Balakauskas,Lithuania,20th Century,1,1,,,1,,1,1,1,,,,,,,memoriam Stasys Lozoraitis
Benjamin Britten,UK,20th Century,1,1,,,1,1,1,1,1,,,1,1,1,"performed for the consecration of the new Coventry Cathedral, which was built after the original fourteenth-century structure was destroyed in a World War II bombing raid.","performed for the consecration of the new Coventry Cathedral, which was built after the original fourteenth-century structure was destroyed in a World War II bombing raid."
"Sylvano Bussotti's ""Rara Requiem"" (1969)",Italy,20th Century,,,,,,,,,,,,,,,,
Michel Chion,France,20th Century,1,1,,,1,,1,,1,1,,,1,,,
Vladimir Dashkevich,Russia ,20th Century,,,,,,,,,,,,,,,"lyrics by the Russian Silver Age poets, including Requiem of Anna Akhmatova.",
James DeMars: An American Requiem,USA,20th Century,1,1,,,1,,1,,,1,,,1,,"psalms, memorial poem",Following the 1992 Los Angeles riots subsequent to the Rodney King trial
Edison Denisov,Russia ,20th Century,,,,,,,,,,,,,,,"setting a multi-lingual text (English, French, German and Latin) based on works by Francisco Tanzer, was given its first performance in Hamburg in 1980.",
Alfred Desenclos (1963),France,20th Century,1,1,,,,,,,,,,,,,,possibly plagarized 
Felix Draeseke (1910),Germany,20th Century,1,1,,,1,1,1,1,1,,,,,,,
Ralph Dunstan,UK,20th Century,1,1,,,1,1,1,,1,1,,1,,,,his son and son-in- law who were killed in the First World War.[1]
Maurice Duruflé,France,20th Century,1,1,,,,1,,,1,1,,1,1,1,,published in 1948 by the French firm Durand
Lorenzo Ferrero's ,Italy,20th Century,1,,,,1,1,1,,1,,,,1,,,for the victims of the mafia (1993) 
Gerald Finzi's Requiem da camera,UK,20th Century,,,,,,,,,,,,,,,"work by John Masefield, work by Thomas Hardy, Wilfred Wilson Gibson .","memory of his teacher Ernest Farrar, who died on the Somme in 1918"
"John Foulds ""A World Requiem""",UK,20th Century,1,,,,,,,,,,,,,,"John Bunyan's The Pilgrim's Progress, a poem by the Hindu poet Kabir and a few passages she wrote herself. There are 20 movements arranged in two parts of 10 movements each, though some movements are quite brief.",memorial to the dead of all nations in the wake of the First World War.
Howard Goodall,UK,20th Century,1,1,,,1,,,,1,,1,,,1,,Requiem Mass; Francis Quarles; Ann Thorp; John Henry Newman; attrib Mary Elizabeth Frye; John McCrae; Phineas Fletcher.
"William Harper ""Requiem""[6]",USA,20th Century,,1,,,1,,1,,1,,,,,1,,Requiem was written on commission from Harle Montgomery in memory of Kenneth Montgomery
Hans Werner Henze,Germany,20th Century,1,,,,1,,1,,1,1,,,,,,Introitus: Requiem Aeternam was commissioned by the London Sinfonietta as part of a memorial concert for Artistic Director Michael Vyne
Frigyes Hidas,Hungary,20th Century,1,,,,1,,1,,1,1,,,1,,,Written in remembrance of the 40th anniversary of the 1956 Hungarian Revolution
Sigurd Islandsmoen,Norway,20th Century,1,,1,,,,,,,,,,,,,
Karl Jenkins,UK,20th Century,1,,,,1,,,,,1,1,,,1,,Jenkins interjects movements featuring Japanese death poems in the form of a haiku
Dmitry Kabalevsky (1962),Russia,20th Century,,,,,,,,,,,,,,,Text by Robert Rozhdestvensky (1932 - 1994),victims of world war ii 
Volker David Kirchner,Germany,20th Century,1,1,,,1,,1,,1,1,1,,,,,
Ståle Kleiberg,Norway ,20th Century,1,1,,,1,,1,,1,,,,,,Scottish poet and play writer Edwin Morgan,for victims of nazi persecutions 
Joonas Kokkonen,Finland ,20th Century,,11,,1,,,1,1,1,1,,,,1,,
Cyrillus Kreek,Estonia ,20th Century,,,,,,,,,,,,,,,,Estonian translation of the text of Mozart's Requiem
Huub de Lange,Netherlands,20th Century,1,1,,,,,1,,1,,,1,,1,,"was written in memory of Rinke Savenije (1975-1996), the composer's nephew."
"Morten Lauridsen ""Lux Aeterna""",USA,20th Century,1,1,,,,,,,1,,,,,,,
Philip Ledger,UK,20th Century,1,1,,,,,,,,,,1,,,,
Kamilló Lendvay,Hungary,20th Century,1,1,,,1,,,,,,,,,,,
György Ligeti (1965),Hungary,20th Century,1,1,,,1,,,,,,1,,,,,Kubrick films 
Nils Lindberg,Sweden,20th Century,1,1,,,1,,1,,1,,1,,,,,
Andrew Lloyd Webber,UK,20th Century,1,1,,,1,1,1,1,,1,,1,1,,,"It was written in memory of the composer's father,"
Fernando Lopes-Graça,Portugal,20th Century,1,1,,,,,1,,1,1,,,,,,
Roman Maciejewski,Poland,20th Century,1,1,,,1,,,,,,,,,,,
Bruno Maderna (1946),Italy,20th Century,1,1,,,1,1,1,1,1,1,1,1,1,1,,
Frank Martin,Switzerland,20th Century,1,1,,,1,1,1,,1,1,,,,1,,
Jean-Christian Michel,France,20th Century,1,,,,1,,,,,1,,,1,,,
Otto Olsson (1903),Sweden,20th Century,1,1,,,1,,1,,1,,,1,,,,
Ildebrando Pizzetti (1968),Italy,20th Century,1,1,1,,1,1,1,1,1,1,1,1,1,1,,
Jocelyn Pook,UK,20th Century,,,,,,,,,1,,,,,,,
Zbigniew Preisner,Poland,20th Century,,1,,,1,1,1,,1,,1,,,,,"late friend, the director Krzysztof Kieślowski, instrumental "
Robert Rønnes,Norway,20th Century,,,,,,,,,,,,,,,,instrumental 
