State,boston_women
AK,21
AL,36
AR,26
AZ,127
CA,952
CO,252
CT,160
DC,76
DE,21
FL,294
GA,145
HI,21
IA,52
ID,46
IL,353
IN,107
KS,43
KY,48
LA,35
MA,2467
MD,197
ME,75
MI,208
MN,219
MO,100
MS,15
MT,20
NC,232
ND,14
NE,36
NH,158
NJ,217
NM,29
NV,46
NY,641
OH,311
OK,34
OR,154
PA,390
RI,58
SC,61
SD,17
TN,114
TX,493
UT,246
VA,281
VT,38
WA,247
WI,185
WV,15
WY,10
