Age,City,State,Age,Total Time,Gender
"» Lee, Thania (GUA)",Guatemala,,45,4:05:04,F
"» Martinez, Christina (USA)",Providence,RI,26,4:05:06,F
"» Moscovic, Sharon (USA)",Davisburg,MI,45,4:05:06,F
"» Craig, Carla (USA)",Wichita,KS,43,4:05:06,F
"» Fulkerson, Daria (USA)",Brooklyn,NY,31,4:05:07,F
"» Palmer, Donna (CAN)",Pearland,TX,50,4:05:09,F
"» Herrera, Patty (USA)",River Forest,IL,55,4:05:10,F
"» Fleig, Lindsay (USA)",Mount Washington,KY,28,4:05:11,F
"» Lee, Jui-Chun (TPE)",Taipei City,TAIWAN,40,4:05:11,F
"» Zeller, Denise (SWZ)",Zürich,,35,4:05:11,F
"» Bohachek, Callie (USA)",Dayton,OH,29,4:05:11,F
"» Atkinson, Paige (USA)",Chicago,IL,23,4:05:12,F
"» Wagner, Stephanie (USA)",Atlanta,GA,25,4:05:12,F
"» Moreno, Patricia (MEX)",The Woodlands,TX,41,4:05:12,F
"» Crowell, Elizabeth (USA)",River Forest,IL,25,4:05:13,F
"» Roman, Karina (MEX)",Chicago,IL,29,4:05:13,F
"» Petro, Grace (USA)",Duxbury,MA,21,4:05:14,F
"» Shemenski, Christina (USA)",Tiverton,RI,36,4:05:16,F
"» Kirkland, Cleo (CAN)",Toronot,ON,37,4:05:16,F
"» Dunietz, Anna (USA)",Evanston,IL,25,4:05:17,F
"» Helm, Tina (USA)",Elmhurst,IL,48,4:05:17,F
"» Perez Lazcano, Juana Guadalupe (MEX)",Ciudad De Mexico,C...,40,4:05:18,F
"» Graham, Karla (USA)",Rockford,IL,45,4:05:18,F
"» Devlyn, Marina (USA)",Austin,TX,34,4:05:19,F
"» Morales, Daniela (MEX)",Distrito Federal,Distri...,31,4:05:20,F
"» Kearney, Stephanie (USA)",Valparaiso,IN,25,4:05:20,F
"» Torres-Ruiz, Cynthia (USA)",Park Ridge,IL,45,4:05:20,F
"» Hatlestad, Sherry (USA)",Glen Ellyn,IL,44,4:05:21,F
"» Spencer, Asha (USA)",Chicago,IL,33,4:05:22,F
"» Athreya, Sadhana (IND)",Clapham,London,24,4:05:22,F
"» Nading-Annis, Angela (USA)",Maynard,IA,45,4:05:22,F
"» Nance, Taryn (USA)",West Lafayette,IN,41,4:05:24,F
"» Boutros, Christina (USA)",Franklin,TN,44,4:05:24,F
"» Mcgee, Jill (USA)",El Paso,TX,35,4:05:24,F
"» Argueta, Vickie (USA)",Chicago,IL,40,4:05:25,F
"» Lewandowski, Christine (USA)",Whiting,IN,25,4:05:25,F
"» Robinson, Ashley (USA)",Los Angeles,CA,29,4:05:25,F
"» Novak, Kahle (USA)",Chicago,IL,26,4:05:26,F
"» Reynolds, Meghan (USA)",Seattle,WA,38,4:05:26,F
"» Maher, Brenda (CAN)",Vineland,ON,60,4:05:26,F
"» Han, Suzanne (USA)",Orland Park,IL,39,4:05:27,F
"» Wood, Shirley (CAN)",Vancouver,BC,51,4:05:27,F
"» Verlinden, Jennifer (USA)",Clarkston,MI,36,4:05:28,F
"» Balmat, Shannon (USA)",Chicago,IL,25,4:05:28,F
"» Gustafson, Emma (USA)",Chicago,IL,25,4:05:28,F
"» Bozovic, Iva (MNE)",Pasadena,CA,37,4:05:29,F
"» Murphy, Daffany (USA)",Johns Creek,GA,40,4:05:29,F
"» Barber, Amy (USA)",Chicago,IL,28,4:05:29,F
"» Munoz, Luz (USA)",West Palm Beach,FL,48,4:05:31,F
"» Keane, Megan (USA)",Brighton,MA,26,4:05:31,F
"» Marquez, Ana (MEX)",Chihuahua,CHIHUAHUA,48,4:05:32,F
"» Young, Wendy (USA)",Greenbelt,MD,36,4:05:33,F
"» Arce, Eleonora (CRC)",San Jose,,48,4:05:34,F
"» Muller, Cynthia (GUA)",Guatemala,,39,4:05:35,F
"» Thrasher, Emily (USA)",New York,NY,34,4:05:36,F
"» Levitt, Julie (USA)",Chicago,IL,48,4:05:37,F
"» Bauer, Brittany (USA)",Chicago,IL,24,4:05:37,F
"» Pump, Jenn (USA)",Clarkston,MI,35,4:05:38,F
"» Pozo, Elsy (ESA)",San Salvador,San Sa...,42,4:05:38,F
"» Mcdonough, Molly (USA)",Mount Carroll,IL,30,4:05:38,F
"» Luna, Paulina (MEX)",Rockford,IL,23,4:05:39,F
"» Rogers, Sheila (USA)",Milton,MA,39,4:05:39,F
"» Block, Kelly (USA)",Winnetka,IL,27,4:05:39,F
"» Harry, Maggie (USA)",Sacramento,CA,26,4:05:39,F
"» Larsen, Sara (USA)",Glenview,IL,31,4:05:40,F
"» Wulff, Maria Elena (HON)",Lidingö,Sweden,64,4:05:40,F
"» Koppenrade, Kirsty (NED)",Haarlem,,34,4:05:40,F
"» Barnes, Jamie (USA)",Williamston,MI,37,4:05:41,F
"» Denison, Lindsey (USA)",Las Vegas,NV,26,4:05:41,F
"» Jenvey, Julia (USA)",Chicago,IL,28,4:05:43,F
"» Litsey, Katie (USA)",Minneapolis,MN,46,4:05:44,F
"» Balance, Kelsey (USA)",Los Angeles,CA,28,4:05:45,F
"» Andersen, Courtney (USA)",Maynard,MA,24,4:05:46,F
"» Buchman, Kristin (USA)",Murphysboro,IL,30,4:05:46,F
"» Mullins, Lara (USA)",Apt 2E,IL,26,4:05:46,F
"» Matzen, Kalley (USA)",Manly,IA,19,4:05:46,F
"» Profit, Sandrine (FRA)",Douvres La Delivrande,,45,4:05:46,F
"» Nowicki, Hannah (USA)",Chicago,IL,24,4:05:47,F
"» Lee, Nancy (USA)",Ny,NY,32,4:05:48,F
"» Werbitsky, Jennifer (USA)",New York,NY,25,4:05:48,F
"» French, Katie (USA)",Chicago,IL,29,4:05:48,F
"» Howard, Marisa (USA)",Arlington,VA,29,4:05:49,F
"» Johnson, Alyssa (USA)",Chicago,IL,29,4:05:49,F
"» Pankow, Jill (USA)",Chicago,IL,27,4:05:49,F
"» Gannon, Chelsey (USA)",Chicago,IL,28,4:05:50,F
"» Linton, Renee (USA)",Chicago,IL,32,4:05:50,F
"» White, Kimberlee (USA)",Gurnee,IL,46,4:05:50,F
"» Branca, Teodora (USA)",Chicago,IL,30,4:05:50,F
"» Geller, Sheridan (USA)",Chicago,IL,39,4:05:51,F
"» Jones, Trisha (USA)",Three Forks,MT,38,4:05:51,F
"» Kaspari, Katarina (USA)",Pullman,WA,25,4:05:52,F
"» Lundahl, Carol (USA)",Lake Forest,IL,55,4:05:52,F
"» Ng, Norma (USA)",Allen,TX,45,4:05:53,F
"» Jazdzyk, Sarah (USA)",Milwaukee,WI,29,4:05:53,F
"» Suero, Pridah (DOM)",Santo Domingo,D. N...,33,4:05:54,F
"» Pier, Emily (USA)",Chicago,IL,30,4:05:54,F
"» Rich, Dana (USA)",Cedarburg,WI,22,4:05:56,F
"» Klinikowski, Kimberly (USA)",New York,NY,26,4:05:57,F
"» Barwin, Amber (USA)",Fort Dodge,IA,36,4:05:57,F
"» Cuello, Maria (VEN)",Chicago,IL,31,4:05:57,F
"» Berkin, Amy (USA)",Chicago,IL,26,4:05:57,F
"» Eichten, Alison (USA)",Lakewood,CO,36,4:05:58,F
"» Ortiz, Yesenia (USA)",Chicago,IL,32,4:05:58,F
"» Maher, Laine (USA)",Brookline,MA,23,4:05:58,F
"» Mohr, Sara (USA)",Chicago,IL,23,4:05:58,F
"» Gray, Emily (USA)",Jacksonville,FL,30,4:05:59,F
"» Hernandez Lizarraga, Patricia (MEX)",Zapopan,JALISCO,54,4:06:00,F
"» Anderson, Marquita (USA)",Chicago,IL,29,4:06:01,F
"» Zhou, Xin (CHN)",Chengdu,sichuan,41,4:06:01,F
"» Palacios, Ana Maria (VEN)",Weston,FL,42,4:06:01,F
"» Woo, Valerie (USA)",Leesburg,VA,40,4:06:01,F
"» Costa, Elena (USA)",Tracy,CA,37,4:06:02,F
"» Lanz, Susan (USA)",Chicago,IL,43,4:06:02,F
"» Marable, Mary (USA)",Fredericksburg,VA,27,4:06:03,F
"» Vannoy, Krista (USA)",Roanoke,VA,46,4:06:03,F
"» Fenn, Natasha (CAN)",Mississauga,ON,24,4:06:04,F
"» Mirza-Gruber, Manizeh (USA)",Houston,TX,53,4:06:04,F
"» Lo, Emily (USA)",Humble,TX,25,4:06:05,F
"» Hartnett, Megan (USA)",Chicago,IL,31,4:06:06,F
"» Sanchez, Jimena (MEX)",Queretaro,Queretaro,32,4:06:06,F
"» Thom, Christina (USA)",Chicago,IL,30,4:06:07,F
"» Perez-Paz, Maria (ESP)",Hillsboro,OR,39,4:06:07,F
"» Ruwe, Iris (VEN)",West Chester,OH,33,4:06:08,F
"» Davidson, Sandra (USA)",Eagan,MN,47,4:06:09,F
"» Vitaterna, Melanie (USA)",Chicago,IL,23,4:06:10,F
"» Del Villano, Maria (ITA)",Bolivar,BOLIVAR,40,4:06:10,F
"» Jones, Michelle (USA)",New York,NY,33,4:06:10,F
"» Voss, Madeline (USA)",Des Moines,IA,26,4:06:10,F
"» Bolino, Elena (USA)",San Diego,CA,43,4:06:10,F
"» Meza, Ramona (USA)",Chicago,IL,33,4:06:11,F
"» Garcia, Malinda (USA)",Baldwin Park,CA,34,4:06:11,F
"» Kennedy, Isabella (GBR)",Helensburgh,Argyll a...,54,4:06:11,F
"» Supernaw, Kelly (USA)",Memphis,TN,26,4:06:11,F
"» Grissom, Ann (USA)",Chicago,IL,45,4:06:11,F
"» Mills, Brittney (USA)",Vernon Hills,IL,27,4:06:12,F
"» Colombo, Stephanie (USA)",Bloomfield Hills,MI,32,4:06:13,F
"» Ferris, Cathariya (USA)",Gainesville,FL,35,4:06:13,F
"» Willis, Stewart (USA)",Chicago,IL,26,4:06:16,F
"» Lance, Teri (USA)",Orlando,FL,44,4:06:17,F
"» Colucci, Nicole (USA)",Downers Grove,IL,46,4:06:17,F
"» Strenk, Ellen (USA)",Chicago,IL,25,4:06:17,F
"» Day, Amanda (USA)",Eagle River,AK,38,4:06:17,F
"» Easley, Miranda (USA)",Moberly,MO,31,4:06:18,F
"» Jeanneret, Leticia (USA)",Parkland,FL,44,4:06:18,F
"» Frazier, Kelly (USA)",Astoria,NY,43,4:06:18,F
"» Lebeau, Colette (USA)",Pueblo,CO,34,4:06:19,F
"» Broussard, Annelise (USA)",New York,NY,24,4:06:19,F
"» Cowell, Kelly (USA)",Gurnee,IL,38,4:06:20,F
"» Hallgren, Maggie (USA)",Nashville,TN,32,4:06:20,F
"» Asta Bruno, Camilla (DEN)",Copenhagen V,Cope...,33,4:06:21,F
"» Bernal, Nadia (MEX)",Ciudad De Mexico,...,32,4:06:25,F
"» Walsh, Kara (USA)",Denver,CO,32,4:06:26,F
"» Flaim, Erin (CAN)",Halifax,NS,48,4:06:27,F
"» Price, Nancy (USA)",Schererville,IN,46,4:06:27,F
"» Ershowsky, Emily (USA)",New York,NY,29,4:06:27,F
"» Mccormick, Amanda (USA)",West Seneca,NY,29,4:06:28,F
"» Sato, Sheristen (USA)",Round Lake,IL,43,4:06:28,F
"» Ruggles, Cynthia (USA)",Va Beach,VA,43,4:06:30,F
"» Simon, Sandi (USA)",Perry Hall,MD,50,4:06:31,F
"» Velasco Jimenez, Betsy (COL)",Bogota,,38,4:06:32,F
"» Roberts, Lauren (USA)",Chicago,IL,38,4:06:33,F
"» Rice, Allyson (USA)",Dallas,TX,25,4:06:33,F
"» Hobson, Beatrice (USA)",Chicago,IL,24,4:06:33,F
"» Caddick, Jennifer (USA)",Oak Forest,IL,24,4:06:33,F
"» Erdim, Nicole (USA)",Charlottesville,VA,47,4:06:33,F
"» Kristinsdottir, Sigurborg (ISL)",Kopavogur,,42,4:06:33,F
"» Walsh, Erin (USA)",Medford,MA,31,4:06:33,F
"» Lau, Jessica (USA)",Chicago,IL,27,4:06:34,F
"» Jamet, Michelle (SWZ)",Neuchatel,,53,4:06:35,F
"» Hermeyer, Kathy Jean (USA)",Princeton,IL,54,4:06:36,F
"» Wai Kiu Fiona, Yung (HKG)",Kowloon,Hong Kong,44,4:06:36,F
"» Los, Stacey (USA)",Waukesha,WI,40,4:06:37,F
"» Canto, Maria Jose (MEX)",Metepec,ESTADO ...,19,4:06:37,F
"» Chokshi, Riti (USA)",Bartlett,IL,23,4:06:37,F
"» Reynolds, Amy (USA)",Albers,IL,38,4:06:37,F
"» Munger Clary, Heidi (USA)",Winston-Salem,NorthCa...,35,4:06:38,F
"» Clark, Laura (USA)",Chicago,IL,25,4:06:38,F
"» Kafer, Kristina (USA)",Lake Geneva,WI,49,4:06:39,F
"» Sanchez, Angelica (MEX)",Cdmx,CDMX,42,4:06:39,F
"» Smith, Tracey (USA)",Oak Park,IL,50,4:06:39,F
"» Kozlowski, Caitlin (USA)",Forest Park,IL,29,4:06:40,F
"» Whelan, Meghan (USA)",Elgin,IL,35,4:06:41,F
"» Rubeca, Rosita (ITA)",Chiusi,SI,46,4:06:41,F
"» Portfleet, Jess (USA)",Atlantic Mine,MI,38,4:06:42,F
"» Pineda, Gabriela (USA)",Chicago,IL,26,4:06:42,F
"» Chiarello, Annnmarie (USA)",Dallas,TX,26,4:06:43,F
"» Faust, Ahu (TUR)",Long Grove,IL,39,4:06:43,F
"» Kelly, Emily (USA)",Chicago,IL,28,4:06:44,F
"» Pearcy, Lisa (USA)",Winter Park,FL,35,4:06:44,F
"» Nakama, Amy (USA)",Aurora,IL,35,4:06:45,F
"» Schafer, Alexa (USA)",Everett,MA,27,4:06:46,F
"» Kwon, Eunkyung (KOR)",Gwanak-Gu,seoul,26,4:06:46,F
"» Colquhoun, Sam (GBR)",Gateshead,Tyne and...,45,4:06:47,F
"» Cameron, Berkley (USA)",Chicago,IL,43,4:06:47,F
"» Karstens, Queta (USA)",Park Ridge,IL,50,4:06:48,F
"» Gaspar, Nicole (USA)",Woodridge,IL,39,4:06:49,F
"» Lee, Tara (CAN)",Toronto,ON,36,4:06:51,F
"» Norgard, Kiersten (USA)",Chicago,IL,23,4:06:52,F
"» Krause, Serena (USA)",West Chester,OH,41,4:06:52,F
"» Caparros, Adriana (USA)",San Juan,PR,38,4:06:52,F
"» Muise, Lynn (USA)",Pleasanton,CA,49,4:06:53,F
"» Nienhuis, Cierra (USA)",Zeeland,MI,19,4:06:53,F
"» Andrew, Sarah (USA)",New York,NY,24,4:06:54,F
"» Thompson, Robin (USA)",Wilmette,IL,45,4:06:54,F
"» Heffernan, Robin (USA)",Elgin,IL,40,4:06:54,F
"» Little, Amy (USA)",Riverside,IA,32,4:06:55,F
"» Huffman, Corrie (USA)",Nashville,TN,31,4:06:55,F
"» Robles, Maria (MEX)",Torreon,COAHUILA,48,4:06:55,F
"» Mayo, Toni (USA)",Brooklyn,NY,32,4:06:56,F
"» Demman, Dena (USA)",Las Vegas,NV,57,4:06:56,F
"» Sawhney, Ena (USA)",Fairfax,VA,31,4:06:56,F
"» Smith, Elaine (USA)",Shorewood,IL,42,4:06:57,F
"» Paredes, Maria (MEX)",Chicago,IL,30,4:06:57,F
"» Davis, Susan (USA)",Bellaire,TX,53,4:06:57,F
"» Williamson, Emily (USA)",Tuscaloosa,AL,21,4:06:58,F
"» Colman, Kate (USA)",Las Vegas,NV,39,4:06:58,F
"» Iggins, Elizabeth (USA)",Chicago,IL,28,4:06:58,F
"» Buckthal, Caki (USA)",Chapel Hill,NC,25,4:06:59,F
"» Raby, Kylee (USA)",Chicago,IL,24,4:06:59,F
"» Ingenito, Stephanie (USA)",Holbrook,NY,27,4:06:59,F
"» Graves, Christina (USA)",Oviedo,FL,34,4:07:00,F
"» Bordas, Cecilia (MEX)",Puebla,Puebla,39,4:07:00,F
"» Morton, Angela (CAN)",Milton,ON,44,4:07:00,F
"» Sanchez, Jill (USA)",Champaign,IL,34,4:07:01,F
"» James, Julie (USA)",Tulsa,OK,38,4:07:01,F
"» Bartley, Lisa (USA)",Poway,CA,43,4:07:01,F
"» Bautista, Yanira (MEX)",Des Plaines,IL,37,4:07:02,F
"» Richter, Gabrielle (USA)",New York,NY,25,4:07:02,F
"» Pettit, Kristen (USA)",Chicago,IL,33,4:07:02,F
"» Fung, Zena (CAN)",Fairview Park,Yuen ...,56,4:07:03,F
"» Koonce, Suzanne (USA)",Menlo Park,CA,65,4:07:03,F
"» Galpin, Jolene (USA)",Chicago,IL,33,4:07:05,F
"» Christensen, Michelle (USA)",Lebanon,OR,31,4:07:05,F
"» Milde, Brooke (USA)",Sauk City,WI,41,4:07:07,F
"» Rice, Lauren (USA)",Tampa,FL,30,4:07:07,F
"» Parez, Valeria (MEX)",New York,NY,35,4:07:07,F
"» Marano, Marley (USA)",Clarendon Hills,IL,20,4:07:08,F
"» Williams, Kelly (USA)",Aurora,CO,38,4:07:08,F
"» Qian, Fang (CHN)",Hoffman Estates,IL,42,4:07:09,F
"» Williamson, Kristie (USA)",Dallas,TX,46,4:07:09,F
"» Dolan, Jennifer (USA)",Wilmette,IL,49,4:07:09,F
"» Mateen, Ammiel (USA)",Chicago,IL,45,4:07:10,F
"» Hayes, Christy (USA)",San Antonio,TX,42,4:07:10,F
"» Siewert, Bailey (USA)",Hayward,CA,29,4:07:10,F
"» Cawein, Lauren (USA)",Saint Louis,MO,29,4:07:10,F
"» Moreno, Gabriela (VEN)",Boston,MA,23,4:07:11,F
"» Rauch, Lauren (USA)",Chicago,IL,36,4:07:11,F
"» Bui, Joanne (USA)",San Jose,CA,44,4:07:11,F
"» Carty, Fidelma (IRL)",Galway,Galway,49,4:07:11,F
"» Rechsteiner, Karin (SUI)",Hedingen,,51,4:07:12,F
"» Fast, Ericka (MEX)",Monterrey,NUEVO ...,36,4:07:12,F
"» Leblanc, Megan (USA)",Chicago,IL,50,4:07:13,F
"» Wood, Caitlin (CAN)",Newark,DE,22,4:07:13,F
"» Comer-Jaworski, Lyn (USA)",Mount Prospect,IL,37,4:07:14,F
"» Mclearn-Montz, Amanda (USA)",Urbandale,IA,23,4:07:14,F
"» Murtaugh, Mary (USA)",Washington,DC,31,4:07:14,F
"» Gamez, Magda (USA)",Columbus,IN,55,4:07:15,F
"» Cronin, Cathrine (USA)",Downers Grove,IL,28,4:07:15,F
"» Katz, Marie (USA)",Ridgefield,CT,45,4:07:15,F
"» Anderson, Lori (USA)",Cedar Rapids,IA,38,4:07:16,F
"» Chick, Stacy (USA)",Memphis,TN,33,4:07:16,F
"» Lopes De Araujo Martins Vieira, Raquel (BRA)",Minneapolis,MN,31,4:07:16,F
"» Patton, Kelly (USA)",Orland Park,IL,23,4:07:17,F
"» Araujo, Elizabete (BRA)",Sao Paulo,sao paulo,34,4:07:18,F
"» Casey, Kathy (USA)",North Andover,MA,55,4:07:18,F
"» Affholter, Sarah (USA)",Chicago,IL,32,4:07:19,F
"» Field, Kara (USA)",Bronxville,NY,24,4:07:19,F
"» Howard, Gillian (CAN)",London,ON,37,4:07:19,F
"» Celestino, Patricia (BRA)",Rio De Janeiro,Rio d...,36,4:07:20,F
"» Martl-Wallem, Renate (USA)",Kingston,NH,53,4:07:20,F
"» Jones, Frances (USA)",Saint Louis,MO,24,4:07:20,F
"» Mcinnis, Kathleen (USA)",Glenview,IL,47,4:07:23,F
"» Blake, Mary (IRL)",Sammamish,WA,37,4:07:25,F
"» Anderson, Michelle (USA)",Lake Zurich,IL,41,4:07:26,F
"» Reyes, Celia (MEX)",Mexico,Ciudad de Mex...,40,4:07:27,F
"» Behr, Kerry (USA)",Aurora,IL,40,4:07:27,F
"» Clark, Jessica (USA)",Hesperia,MI,28,4:07:27,F
"» Curren, Leanne (USA)",Downers Grove,IL,31,4:07:27,F
"» Williams, Jennifer (USA)",Manhattan,KS,32,4:07:28,F
"» Moran, Denny (USA)",Yonkers,NY,44,4:07:28,F
"» Nelson, Debra (USA)",Skokie,IL,47,4:07:28,F
"» Gonzalez, Areli (MEX)",Mexico,Estado de Me...,32,4:07:28,F
"» Maslanka, Laura (USA)",Chicago,IL,37,4:07:29,F
"» Moron, Claudia (USA)",North Riverside,IL,45,4:07:29,F
"» Halter, Emily (USA)",Chicago,IL,24,4:07:29,F
"» Smith, Christy (USA)",Los Angeles,CA,43,4:07:29,F
"» Monberg, Maria (USA)",Ann Arbor,MI,20,4:07:30,F
"» Lansing, Helen (USA)",Rome,GA,52,4:07:30,F
"» Wians, Anna (USA)",Cary,IL,24,4:07:30,F
"» Hartwell-Ishikawa, Simone (USA)",Newburyport,MA,27,4:07:30,F
"» Ung, Tek (USA)",Cranston,RI,34,4:07:31,F
"» Barr, Paige (USA)",Chicago,IL,38,4:07:32,F
"» Stuelpe, Merredith (USA)",Tyler,TX,43,4:07:32,F
"» Frias-Carrillo, Rosalba (USA)",Los Angeles,CA,34,4:07:33,F
"» Seib, Carly (USA)",Aurora,CO,21,4:07:33,F
"» Lin, Cynthia (USA)",Boston,MA,27,4:07:33,F
"» Eichten, Fiona (IRL)",Chicago,IL,46,4:07:34,F
"» Kaminski, Halina (POL)",Chicago,IL,31,4:07:35,F
"» Elgin, Jennifer (USA)",Chicago,IL,30,4:07:36,F
"» Holdahl, Ida (USA)",Denver,CO,27,4:07:36,F
"» Navarre, Shelly (USA)",Chicago,IL,24,4:07:36,F
"» Pelunis-Messier, Lisa (USA)",Derry,NH,32,4:07:38,F
"» Knutson, Rebecca (USA)",Watertown,MN,41,4:07:39,F
"» Genin, Angela (USA)",Oregon,WI,39,4:07:39,F
"» Byers, Abby (USA)",Waterville,OH,25,4:07:39,F
"» Persie, Ashley (USA)",Washington,DC,26,4:07:40,F
"» Peterson, Ashley (USA)",Oak Park,IL,30,4:07:40,F
"» Nateghi, Roshanak (USA)",West Lafayette,IN,33,4:07:41,F
"» Krieger, Tiffany (USA)",Kansas City,MO,45,4:07:41,F
"» Carballo Manjarrez, Ethel (MEX)",Guadalajara,Jalisco,39,4:07:41,F
"» Smith, Tricia (USA)",Houston,TX,40,4:07:41,F
"» Sterchi, Rebecca (USA)",Carmel,IN,42,4:07:41,F
"» Folb, Kiersten (USA)",Windsor,CO,46,4:07:42,F
"» Woodall, Tyann (USA)",Gillette,WY,42,4:07:42,F
"» Herra, Rhonda (USA)",South Elgin,IL,44,4:07:42,F
"» Dohogne, Mary (USA)",St. Louis,MO,23,4:07:43,F
"» Acosta, Louise (USA)",St Charles,IL,34,4:07:43,F
"» Seemann, Anna (POL)",Cieszyn,slaskie,33,4:07:43,F
"» Rademaker, Ruth (USA)",La Grange,IL,43,4:07:43,F
"» Nicholls, Katherine (USA)",Chicago,IL,30,4:07:43,F
"» Fratesi, Kati (USA)",Chicago,IL,26,4:07:44,F
"» Uriano, Katie (USA)",Coventry,CT,37,4:07:44,F
"» Ryan, Kristin (USA)",Frankfort,IL,34,4:07:46,F
"» Carbonaro, Carol (USA)",Wellesley,MA,52,4:07:47,F
"» Hass, Hillary (USA)",Chicago,IL,24,4:07:47,F
"» Costas, Samantha (USA)",Valparaiso,IN,26,4:07:47,F
"» Crowe, Haley (USA)",Chicago,IL,30,4:07:48,F
"» Royer, Meghan (USA)",Colorado Springs,CO,26,4:07:49,F
"» Ly, Linh (CAN)",Toronto,ON,40,4:07:50,F
"» Ferry, Lauren (USA)",Joliet,IL,38,4:07:50,F
"» Van Hove, Taylor (USA)",Chicago,IL,25,4:07:50,F
"» Potter, Hannah (USA)",Whitehall,MI,22,4:07:50,F
"» Schank, Stephanie (GER)",Charlotte,NC,43,4:07:51,F
"» Costello, Elena (FRA)",Los Angeles,CA,26,4:07:51,F
"» Lee, Judy (USA)",Chicago,IL,29,4:07:52,F
"» Mathis, Dawn (USA)",Helotes,TX,39,4:07:53,F
"» Eschenbach, Bridget (USA)",Glenview,IL,43,4:07:53,F
"» Benesh, Melanie (USA)",Washington,DC,32,4:07:53,F
"» Torres, Alejandra (MEX)",Skokie,IL,43,4:07:54,F
"» Keshishian, Monique (USA)",Sherman Oaks,CA,33,4:07:54,F
"» Colasurdo, Nicole (USA)",Middletown,CT,30,4:07:56,F
"» Verdejo, Rocio (MEX)",Mexico City,mexico city,41,4:07:56,F
"» Delgado, Narvin (VEN)",Caracas,Distrito Capital,49,4:07:56,F
"» Antoine, Vanessa (USA)",Forney,TX,38,4:07:56,F
"» Folkes, Ashlee (USA)",Long Valley,NJ,21,4:07:57,F
"» Leibbrand, Adena (USA)",Kalamazoo,MI,22,4:07:58,F
"» Connor, Leah (USA)",Charlottesville,VA,45,4:07:58,F
"» Dyer, Joanna (USA)",Hanover,MA,39,4:07:58,F
"» Weber, Maggie (USA)",Chicago,IL,28,4:08:00,F
"» Valencia, Ele (USA)",Chicago,IL,29,4:08:02,F
"» Lockard, Jenna (USA)",Jacksonville,FL,35,4:08:04,F
"» Bauer, Cindy (USA)",Saginaw,MI,45,4:08:05,F
"» Nelson, Audrey (USA)",Portland,OR,45,4:08:05,F
"» Acosta, Yazmin (USA)",Methuen,MA,42,4:08:06,F
"» Weinreb, Cindy (USA)",Chicago,IL,45,4:08:07,F
"» Lauerman, Sara (USA)",Indianapolis,IN,24,4:08:07,F
"» Tarleton, Emily (USA)",Chicago,IL,31,4:08:07,F
"» Marshall, Stacie (USA)",Raleigh,NC,39,4:08:08,F
"» Tsai, Kelsey (USA)",Chicago,IL,25,4:08:09,F
"» Knorr, Sharon (USA)",New Castle,NH,32,4:08:09,F
"» Yi, Marianne (USA)",Des Plaines,IL,22,4:08:10,F
"» Reynolds, Megan (USA)",Winnetka,IL,30,4:08:10,F
"» Robinson, Christine (CAN)",Mississagua,ON,44,4:08:12,F
"» Williams, Aycha (USA)",Maitland,FL,42,4:08:12,F
"» Boynton, Courtney (USA)",Waltham,MA,26,4:08:14,F
"» Crone, Karen (USA)",Chicago,IL,36,4:08:16,F
"» Lopez, Maria (USA)",Canovanas,PR,42,4:08:17,F
"» Herr, Ellen (USA)",Chicago,IL,21,4:08:18,F
"» Wang, Christine (TPE)",Sha Lu,Taichung,34,4:08:19,F
"» D'Apice, Alyssa (USA)",Chicago,IL,31,4:08:19,F
"» Chevalier, Lilian (USA)",Boston,MA,26,4:08:20,F
"» Williams-Frank, Catherine (USA)",Philadelphia,PA,44,4:08:21,F
"» O'Connell, Bridget (USA)",Chicago,IL,28,4:08:21,F
"» Soto, Beatriz (USA)",Chicago,IL,36,4:08:21,F
"» Kiefer, Sabine (GER)",Munich,Bayern,28,4:08:22,F
"» Guzman Cisneros, Beatriz (MEX)",Huixquilucan,Estado d...,41,4:08:23,F
"» Orlowski, Holly (USA)",Grand Rapids,MI,23,4:08:25,F
"» Barkan, Stephanie (USA)",Buffalo Grove,IL,26,4:08:25,F
"» Lucas, Catherine (USA)",Franklin,TN,51,4:08:25,F
"» Hoehn-Saric, Michaella (USA)",Gibson Island,MD,21,4:08:26,F
"» Brandes, Rhonda (USA)",Elgin,IL,63,4:08:27,F
"» Simek, Jan (USA)",Galena,OH,43,4:08:29,F
"» Cronin, Kaitlin (USA)",Chicago,IL,32,4:08:30,F
"» Ouma, Birone-Bay (KEN)",New York,NY,35,4:08:30,F
"» Leal Vizcaino, Rebeca (MEX)",Mexico City,Federal Di...,24,4:08:30,F
"» Quinlan, Sarah (USA)",New York,NY,28,4:08:30,F
"» Lützner, Susan (DEN)",Copenhagen,Copenha...,42,4:08:30,F
"» Fotheringham, Alannah (CAN)",Toronto,ON,25,4:08:30,F
"» Suffoletta, Cristina (USA)",Chicago,IL,28,4:08:30,F
"» Piwowar, Megan (USA)",Birmingham,MI,31,4:08:32,F
"» Duffey, Erin (USA)",Indianapolis,IN,27,4:08:32,F
"» Gratza, Kathryn (USA)",St. Louis,MO,34,4:08:32,F
"» Woolls, Heather (USA)",Blissfield,MI,32,4:08:32,F
"» Neve, Larissa (GBR)",Dorking,Surrey,32,4:08:33,F
"» Brandon, Sarah (USA)",Charlotte,NC,49,4:08:34,F
"» Golden, Megan (USA)",San Francisco,CA,34,4:08:34,F
