Subject,2013count
News Digests,911
Political/General News,801
Page-One Stories,567
School,312
Regional Politics,286
Music,256
Domestic Politics,192
Crime/Legal Action,188
Arts/Entertainment,186
Living/Lifestyle,169
Art,104
Charities/Philanthropy,88
Movies,79
Management Moves,74
People Profiles,74
Murder/Manslaughter,73
Theater,70
Senior Level Management,69
Books,69
Elections,69
Art Reviews (Discontinued from 13th September 2016),68
Government Budget/Taxation,65
University/College,63
Food/Drink,61
Burglary/Theft,59
Corrected Items,59
Interviews,59
Robbery,58
Assault,51
Religion,50
Judicial Branch,44
Real Estate Markets,42
Sub-National/Local Budget/Taxation,40
Transport Accidents,40
Artist Profiles,39
Corporate Crime/Legal Action,38
Festivals,38
Transport,36
Musician Interviews (Discontinued from 12th January 2016),32
Concerts,31
Veterans Affairs Department,31
Fraud,30
Education,29
Home Sales/Housing Affordability,28
Migration,26
Sex Crimes,24
Management,23
Foreclosures,23
Contemporary Art,23
Employment/Unemployment,22
Conferences/Exhibitions,20
Usage/Consumption Statistics,20
Pricing,18
Mortgage Applications/Refinancing,18
National/Presidential Elections,18
Housing Prices,17
Corruption,17
Legislative Branch,17
Upper House,17
Suggested Reading – Agriculture/Forestry,17
Land Use,16
Nutrition,16
Social Issues,16
Surveys/Polls,16
Executive Pay,15
Facility Openings,15
Travel,15
Civil Unrest,14
Television/Radio,14
Architecture,13
Ethical Issues,13
Fiction Books (Discontinued from 12th January 2016),13
Physical Fitness,13
Environmental Protection,13
Opera,13
Photography,13
Trafficking/Smuggling,13
Suggested Reading – Insurance,13
Acquisitions/Mergers/Shareholdings,12
Workers Pay,12
Direct Taxation,12
Sales Tax,12
Law Enforcement,12
Illegal Immigration,12
New Products/Services,11
Beer (Discontinued from 10th January 2017),11
Drug Trafficking/Dealing,11
Health Planning,11
Accidents/Man-made Disasters,11
Criminal Enterprises,11
Air/Water/Land Quality,11
Traffic Violations,11
Regulation/Government Policy,10
Labor/Personnel,10
Acquisitions/Mergers,10
Starting a Business,10
Small/Medium Businesses,10
Workplace Discrimination,10
Economic Growth,10
Private Education,10
